workId,axisId,state,value,confidence,confidenceDecision,evidenceFiles,editionOrScopeLimitation
work-07b11ec79f10c7eb7e05,artRealism,known,1,0.83,"0.83 claim-level confidence: Pass C resolved Local 2 versus Gemini 1 at 1 because round simplified faces, compact chibi figures, and comedy deformation recur while realistic drawings keep it above 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official volume-1 pages across art-room contexts; inserted realistic drawings are not treated as the dominant character style
work-07b11ec79f10c7eb7e05,artDensity,known,2,0.86,"0.86 claim-level confidence: Local and Gemini agree that studio detail and props balance open diagrams and reaction fields at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official volume-1 pages across art-room contexts; inserted realistic drawings are not treated as the dominant character style
work-07b11ec79f10c7eb7e05,visualSoftness,known,3,0.89,"0.89 claim-level confidence: Local and Gemini agree that smooth curves, floral tone, rounded faces, and light shading support softness 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official volume-1 pages across art-room contexts; inserted realistic drawings are not treated as the dominant character style
work-07b11ec79f10c7eb7e05,motionImpact,unknown,,,No numeric confidence: Dialogue and isolated slapstick gestures do not provide one continuous physical action from start to endpoint; motion is unknown. The frozen state remains unknown; unknown is not value 0.,data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official volume-1 pages across art-room contexts; inserted realistic drawings are not treated as the dominant character style
work-f5f0ee0b0ff16bc146e0,artRealism,known,2,0.90,"0.90 claim-level confidence: Local, Gemini, and blind Pass C agree that credible adults and environments coexist with ordinary manga faces and child deformation at realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-barakamon-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-barakamon-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-barakamon-pass-c-adjudication.md,"Official standard-volume first episode; fifteen pages were captured, with six static pages and the exact two-page motion pair used for final claims"
work-f5f0ee0b0ff16bc146e0,artDensity,known,2,0.89,"0.89 claim-level confidence: Local, Gemini, and Pass C agree that airport, vehicle, gallery, and coast detail balance white fields at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-barakamon-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-barakamon-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-barakamon-pass-c-adjudication.md,"Official standard-volume first episode; fifteen pages were captured, with six static pages and the exact two-page motion pair used for final claims"
work-f5f0ee0b0ff16bc146e0,visualSoftness,known,3,0.84,"0.84 claim-level confidence: Pass C resolved Local 3 versus Gemini 2 at 3 because clean tapered contours, rounded faces, light tone, and airy coast recur, while hard hair, blacks, and impact marks prevent 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-barakamon-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-barakamon-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-barakamon-pass-c-adjudication.md,"Official standard-volume first episode; fifteen pages were captured, with six static pages and the exact two-page motion pair used for final claims"
work-f5f0ee0b0ff16bc146e0,motionImpact,known,3,0.83,"0.83 claim-level confidence: Pass C resolved Local 3 versus Gemini 2 from exact pages 10-11; launch, diagonal punch, contact, restraint, and recoil support above-ordinary impact 3 but not extreme 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-barakamon-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-barakamon-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-barakamon-pass-c-adjudication.md,"Official standard-volume first episode; fifteen pages were captured, with six static pages and the exact two-page motion pair used for final claims"
work-a7a1e0666169f1b2e8c0,artRealism,known,3,0.82,"0.82 claim-level confidence: Pass C resolved Local 3 versus Gemini 2 at 3 because natural bodies, observational faces, and credible alley, dining, station, and train space persist despite comedy deformation. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-03-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official early pages across three slice-of-life contexts; realism is a resolved intermediate and later dramatic scenes are not represented
work-a7a1e0666169f1b2e8c0,artDensity,known,2,0.88,"0.88 claim-level confidence: Local and Gemini agree that opening wash and environmental detail balance clean conversational layouts at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-03-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official early pages across three slice-of-life contexts; realism is a resolved intermediate and later dramatic scenes are not represented
work-a7a1e0666169f1b2e8c0,visualSoftness,known,3,0.86,"0.86 claim-level confidence: Local and Gemini agree that rounded contours, smooth hair, washes, and subtle tone support softness 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-03-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official early pages across three slice-of-life contexts; realism is a resolved intermediate and later dramatic scenes are not represented
work-a7a1e0666169f1b2e8c0,motionImpact,unknown,,,"No numeric confidence: Outdoor standing, dining, and transit pages contain no bounded dynamic physical action; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-03-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official early pages across three slice-of-life contexts; realism is a resolved intermediate and later dramatic scenes are not represented
work-3823ff0766f67c015c53,artRealism,known,3,0.91,"0.91 claim-level confidence: Local and the counted Gemini run agree across twelve pages that plausible anatomy, instruments, rooms, and city perspective lean realistic while stylized faces keep the result at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-mashiro-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-mashiro-salvage-response.txt,"Twelve official standard-volume-1 pages across at least three contexts; excluded outer-ERROR Gemini runs do not contribute, and later performance motion is unsampled"
work-3823ff0766f67c015c53,artDensity,known,3,0.90,"0.90 claim-level confidence: Both valid reviewers agree that skyline, clothing, instrument hardware, screentone, and layered panels exceed balanced density without sustaining 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-mashiro-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-mashiro-salvage-response.txt,"Twelve official standard-volume-1 pages across at least three contexts; excluded outer-ERROR Gemini runs do not contribute, and later performance motion is unsampled"
work-3823ff0766f67c015c53,visualSoftness,known,3,0.89,"0.89 claim-level confidence: Both valid reviewers agree that flowing hair, fine lines, snow and light effects, and tonal gradients lean soft, while blacks and hatching prevent 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-mashiro-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-mashiro-salvage-response.txt,"Twelve official standard-volume-1 pages across at least three contexts; excluded outer-ERROR Gemini runs do not contribute, and later performance motion is unsampled"
work-3823ff0766f67c015c53,motionImpact,unknown,,,"No numeric confidence: Contiguous reinspection found isolated grabs, running, and pose changes but no one exact action with continuous development and resolved endpoint; motion closes unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-mashiro-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-mashiro-salvage-response.txt,"Twelve official standard-volume-1 pages across at least three contexts; excluded outer-ERROR Gemini runs do not contribute, and later performance motion is unsampled"
work-d7e64b0b5479ca943edd,artRealism,known,1,0.86,"0.86 claim-level confidence: Local and the corrected counted Gemini review agree that loose caricatural people and believable diner objects place realism between simplification and ordinary stylization at 1. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-04-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Minimum six-page corrected sample across diner contexts, including two color-wash and four monochrome pages; the earlier five-page Gemini gate failure is obsolete"
work-d7e64b0b5479ca943edd,artDensity,known,1,0.81,"0.81 claim-level confidence: Pass C resolved Local 1 versus Gemini 0 at 1 because white space dominates but repeated panels, food, counter, television, and room props keep the packet above sparse 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-04-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Minimum six-page corrected sample across diner contexts, including two color-wash and four monochrome pages; the earlier five-page Gemini gate failure is obsolete"
work-d7e64b0b5479ca943edd,visualSoftness,known,2,0.86,"0.86 claim-level confidence: Local, corrected Gemini, and Pass C support neutral 2: loose rounded organic lines avoid harsh angularity but do not become delicately ornamental. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-04-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Minimum six-page corrected sample across diner contexts, including two color-wash and four monochrome pages; the earlier five-page Gemini gate failure is obsolete"
work-d7e64b0b5479ca943edd,motionImpact,unknown,,,"No numeric confidence: Cooking, eating, conversation, and news transitions provide no exact continuous physical action sequence; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-04-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Minimum six-page corrected sample across diner contexts, including two color-wash and four monochrome pages; the earlier five-page Gemini gate failure is obsolete"
work-ef7106f6a387c9860877,artRealism,known,2,0.89,"0.89 claim-level confidence: Local and Gemini agree that grounded adult posture and age coexist with simplified josei faces at realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official volume-1 pages across commute, shopping, and bar contexts; no action packet"
work-ef7106f6a387c9860877,artDensity,known,2,0.82,"0.82 claim-level confidence: Pass C resolved Local 2 versus Gemini 1 at 2 because many panels and recurring station, town, store, work, and bar detail balance the light line and white fields. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official volume-1 pages across commute, shopping, and bar contexts; no action packet"
work-ef7106f6a387c9860877,visualSoftness,known,3,0.89,"0.89 claim-level confidence: Local and Gemini agree that rounded brush-like contours and warm human figures lean softer than neutral at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official volume-1 pages across commute, shopping, and bar contexts; no action packet"
work-ef7106f6a387c9860877,motionImpact,unknown,,,"No numeric confidence: Commuting, lifting boxes, walking, and opening a door do not form a qualifying dynamic sequence; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-other-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-other-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six official volume-1 pages across commute, shopping, and bar contexts; no action packet"
work-8716f80d9b988bd0d055,artRealism,known,3,0.90,"0.90 claim-level confidence: Local and Gemini agree that proportionate figures and observed urban and restaurant space lean realistic while polished faces remain stylized at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six exact standard-volume-1 pages across three contexts; motion is one short restrained departure sequence
work-8716f80d9b988bd0d055,artDensity,known,3,0.88,"0.88 claim-level confidence: Both reviewers agree that backgrounds, screentone, rain, texture, and panel information stay above balanced density at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six exact standard-volume-1 pages across three contexts; motion is one short restrained departure sequence
work-8716f80d9b988bd0d055,visualSoftness,known,3,0.89,"0.89 claim-level confidence: Both reviewers agree that flowing hair, fine lines, and smooth tone lean soft at 3 without reaching 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six exact standard-volume-1 pages across three contexts; motion is one short restrained departure sequence
work-8716f80d9b988bd0d055,motionImpact,known,1,0.82,"0.82 claim-level confidence: Both reviewers accept printed pp.16-17 as a bounded umbrella retrieval, departure, run, and follow sequence; the restrained cues support low-impact 1 but limit confidence. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six exact standard-volume-1 pages across three contexts; motion is one short restrained departure sequence
work-11296a590b885cb73b66,artRealism,known,0,0.93,"0.93 claim-level confidence: Local and Gemini agree that dot-line faces, schematic eyes, and strongly simplified bodies directly reach realism 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six official first-episode pages across three clinic contexts; no qualifying motion sequence
work-11296a590b885cb73b66,artDensity,known,1,0.88,"0.88 claim-level confidence: Both reviewers agree that large white fields, sparse backgrounds, and minimal linework place density between sparse 0 and balanced 2 at 1. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six official first-episode pages across three clinic contexts; no qualifying motion sequence
work-11296a590b885cb73b66,visualSoftness,known,3,0.89,"0.89 claim-level confidence: Both reviewers agree that rounded forms and gentle hand-drawn curves lean soft at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six official first-episode pages across three clinic contexts; no qualifying motion sequence
work-11296a590b885cb73b66,motionImpact,unknown,,,"No numeric confidence: Clinic procedures, corridor transfer, and dialogue contain no exact bounded dynamic sequence; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six official first-episode pages across three clinic contexts; no qualifying motion sequence
work-5e7eef6cc23d9738e034,artRealism,known,4,0.94,"0.94 claim-level confidence: Local and Gemini agree that anatomy, town, vehicles, landscape, and perspective consistently reach realism 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six official opening-episode pages across three contexts; no action passage was sampled
work-5e7eef6cc23d9738e034,artDensity,known,4,0.93,"0.93 claim-level confidence: Both reviewers agree that hatching, water, paving, bookstore, ferry, and surface information sustain density 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six official opening-episode pages across three contexts; no action passage was sampled
work-5e7eef6cc23d9738e034,visualSoftness,known,1,0.90,"0.90 claim-level confidence: Both reviewers agree that sharp pen work, tense hatching, angular faces, and high contrast place softness at 1 above fully rough 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six official opening-episode pages across three contexts; no action passage was sampled
work-5e7eef6cc23d9738e034,motionImpact,unknown,,,"No numeric confidence: Beach aftermath, walking, and ferry docking do not form an exact physical action sequence; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-01-response.txt,Six official opening-episode pages across three contexts; no action passage was sampled
work-0153a125c5a56225b06c,artRealism,known,3,0.90,"0.90 claim-level confidence: Local and Gemini agree that proportionate observational people and domestic space lean realistic while faces remain stylized at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,Six official first-episode pages across three domestic contexts; printed folios are not exposed for all captures
work-0153a125c5a56225b06c,artDensity,known,2,0.89,"0.89 claim-level confidence: Both reviews agree that functional backgrounds, panels, dialogue, and deliberate white space balance at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,Six official first-episode pages across three domestic contexts; printed folios are not exposed for all captures
work-0153a125c5a56225b06c,visualSoftness,known,3,0.89,"0.89 claim-level confidence: Both reviews agree that flowing contours, delicate hair, and restrained tone lean soft at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,Six official first-episode pages across three domestic contexts; printed folios are not exposed for all captures
work-0153a125c5a56225b06c,motionImpact,unknown,,,"No numeric confidence: Cooking, writing, doorway contact, and meal conversation provide no bounded dynamic action; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,Six official first-episode pages across three domestic contexts; printed folios are not exposed for all captures
work-34bba03e2a127ef29cd7,artRealism,known,3,0.89,"0.89 claim-level confidence: Local and Gemini agree that anatomy, machines, terrain, and gesture lean realistic while faces retain manga stylization at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,"Six official electronic-volume-1 pages across three contexts; paper ISBN identity is mapped at work and volume level, not byte-identical rendering"
work-34bba03e2a127ef29cd7,artDensity,known,4,0.91,"0.91 claim-level confidence: Both reviewers agree that vehicle mechanics, clothing, weather, camp gear, and landscape sustain high density 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,"Six official electronic-volume-1 pages across three contexts; paper ISBN identity is mapped at work and volume level, not byte-identical rendering"
work-34bba03e2a127ef29cd7,visualSoftness,known,3,0.88,"0.88 claim-level confidence: Both reviews agree that fluid line and watercolor-like atmosphere lean soft at 3 despite mechanical hardness. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,"Six official electronic-volume-1 pages across three contexts; paper ISBN identity is mapped at work and volume level, not byte-identical rendering"
work-34bba03e2a127ef29cd7,motionImpact,unknown,,,No numeric confidence: The overturned vehicle is shown as aftermath and other pages are stationary; no exact action start-to-end sequence exists. The frozen state remains unknown; unknown is not value 0.,data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,"Six official electronic-volume-1 pages across three contexts; paper ISBN identity is mapped at work and volume level, not byte-identical rendering"
work-9d04c47e7efbbbd8aca6,artRealism,known,2,0.90,"0.90 claim-level confidence: Local and Gemini agree that conventional shojo faces over proportionate bodies and school space fit realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,Six exact official standard-volume-1 pages across three early contexts; predecessor and season-zero editions are excluded
work-9d04c47e7efbbbd8aca6,artDensity,known,2,0.89,"0.89 claim-level confidence: Both reviewers agree that clean backgrounds, panels, tone, and open space remain balanced at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,Six exact official standard-volume-1 pages across three early contexts; predecessor and season-zero editions are excluded
work-9d04c47e7efbbbd8aca6,visualSoftness,known,3,0.89,"0.89 claim-level confidence: Both reviewers agree that rounded facial construction, polished lines, and gentle tone lean soft at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,Six exact official standard-volume-1 pages across three early contexts; predecessor and season-zero editions are excluded
work-9d04c47e7efbbbd8aca6,motionImpact,unknown,,,"No numeric confidence: Classroom, dressing-room, and corridor pages do not contain a bounded dance or action sequence; motion is unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-02-response.txt,Six exact official standard-volume-1 pages across three early contexts; predecessor and season-zero editions are excluded
work-222504590507d3ab8093,artRealism,known,0,0.93,"0.93 claim-level confidence: Local and Gemini agree that picture-book deformation, dot-line features, and schematic anatomy directly reach realism 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-03-response.txt,Six official first-episode pages across three contexts; printed folios are not exposed and later action is unsampled
work-222504590507d3ab8093,artDensity,known,1,0.88,"0.88 claim-level confidence: Both reviewers agree that broad white fields, sparse linework, and simple settings place density at 1 rather than balanced 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-03-response.txt,Six official first-episode pages across three contexts; printed folios are not exposed and later action is unsampled
work-222504590507d3ab8093,visualSoftness,known,3,0.88,"0.88 claim-level confidence: Both reviewers agree that rounded fairy-tale curves lean soft at 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-03-response.txt,Six official first-episode pages across three contexts; printed folios are not exposed and later action is unsampled
work-222504590507d3ab8093,motionImpact,unknown,,,No numeric confidence: Town walking and character interaction do not provide an exact bounded dynamic action sequence; motion is unknown. The frozen state remains unknown; unknown is not value 0.,data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-03-response.txt,Six official first-episode pages across three contexts; printed folios are not exposed and later action is unsampled
work-07ff2a01ef593ce2f809,artRealism,known,2,0.90,"0.90 claim-level confidence: Local and Gemini agree that classic shojo facial stylization sits over proportionate adolescent bodies and observed school space at realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-03-response.txt,Six official first-chapter resource pages across three contexts; the judo fragments are not a complete motion packet
work-07ff2a01ef593ce2f809,artDensity,known,3,0.89,"0.89 claim-level confidence: Both reviews agree that school foliage, architecture, hair, screentone, and eye detail sustain density 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-03-response.txt,Six official first-chapter resource pages across three contexts; the judo fragments are not a complete motion packet
work-07ff2a01ef593ce2f809,visualSoftness,known,3,0.90,"0.90 claim-level confidence: Both reviews agree that polished hair, gradients, eye rendering, and fine contours support softness 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-chunk-04.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-chunk-04-group-03-response.txt,Six official first-chapter resource pages across three contexts; the judo fragments are not a complete motion packet
